"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/qsomarri/Documents/github/minirt/includes/display.h", "C++", 14, 0, 15, 13, 42
"/home/qsomarri/Documents/github/minirt/includes/error.h", "C++", 39, 0, 14, 15, 68
"/home/qsomarri/Documents/github/minirt/includes/intersections.h", "C++", 10, 0, 15, 9, 34
"/home/qsomarri/Documents/github/minirt/includes/minirt.h", "C", 0, 34, 15, 16, 65
"/home/qsomarri/Documents/github/minirt/includes/parser.h", "C++", 18, 0, 17, 20, 55
"/home/qsomarri/Documents/github/minirt/includes/structs.h", "C++", 99, 0, 11, 18, 128
"/home/qsomarri/Documents/github/minirt/includes/vector.h", "C++", 11, 0, 13, 11, 35
"/home/qsomarri/Documents/github/minirt/srcs/display/color.c", "C", 0, -42, -11, -8, -61
"/home/qsomarri/Documents/github/minirt/srcs/display/color_utils.c", "C", 0, -15, -11, -5, -31
"/home/qsomarri/Documents/github/minirt/srcs/display/display.c", "C", 0, -24, -11, -5, -40
"/home/qsomarri/Documents/github/minirt/srcs/display/event.c", "C", 0, -32, -11, -7, -50
"/home/qsomarri/Documents/github/minirt/srcs/display/ray.c", "C", 0, -48, -11, -6, -65
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_objects.c", "C", 0, -98, -11, -8, -117
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_scene.c", "C", 0, -61, -11, -6, -78
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/outputs.c", "C", 0, -45, -11, -7, -63
"/home/qsomarri/Documents/github/minirt/srcs/intersections/cylinder.c", "C", 0, -68, -11, -10, -89
"/home/qsomarri/Documents/github/minirt/srcs/intersections/intersections.c", "C", 0, -76, -11, -9, -96
"/home/qsomarri/Documents/github/minirt/srcs/intersections/plane.c", "C", 0, -25, -11, -4, -40
"/home/qsomarri/Documents/github/minirt/srcs/intersections/sphere.c", "C", 0, -41, -11, -6, -58
"/home/qsomarri/Documents/github/minirt/srcs/main/list_utils.c", "C", 0, -38, -11, -8, -57
"/home/qsomarri/Documents/github/minirt/srcs/main/minirt.c", "C", 0, -52, -11, -7, -70
"/home/qsomarri/Documents/github/minirt/srcs/main/transformations.c", "C", 0, -127, -50, -20, -197
"/home/qsomarri/Documents/github/minirt/srcs/main/transformations_utils.c", "C", 0, -16, -11, -5, -32
"/home/qsomarri/Documents/github/minirt/srcs/main/vector_utils.c", "C", 0, -21, -11, -7, -39
"/home/qsomarri/Documents/github/minirt/srcs/main/vector_utils2.c", "C", 0, -14, -11, -5, -30
"/home/qsomarri/Documents/github/minirt/srcs/parser/elements_parser.c", "C", 0, -54, -11, -8, -73
"/home/qsomarri/Documents/github/minirt/srcs/parser/file_parser.c", "C", 0, -75, -11, -8, -94
"/home/qsomarri/Documents/github/minirt/srcs/parser/ft_atof.c", "C", 0, -51, -11, -8, -70
"/home/qsomarri/Documents/github/minirt/srcs/parser/objects_parser.c", "C", 0, -101, -11, -11, -123
"/home/qsomarri/Documents/github/minirt/srcs/parser/scene_parser.c", "C", 0, -61, -11, -8, -80
"/home/qsomarri/Documents/github/minirt/srcs/parser/utils_parser.c", "C", 0, -39, -11, -8, -58
"Total", "-", 191, -1190, -203, -82, -1284
