"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/qsomarri/Documents/github/minirt/includes/display.h", "C++", 14, 0, 15, 13, 42
"/home/qsomarri/Documents/github/minirt/includes/error.h", "C++", 39, 0, 14, 15, 68
"/home/qsomarri/Documents/github/minirt/includes/intersections.h", "C++", 10, 0, 15, 9, 34
"/home/qsomarri/Documents/github/minirt/includes/minirt.h", "C", 0, 34, 15, 16, 65
"/home/qsomarri/Documents/github/minirt/includes/parser.h", "C++", 18, 0, 17, 20, 55
"/home/qsomarri/Documents/github/minirt/includes/structs.h", "C++", 99, 0, 11, 18, 128
"/home/qsomarri/Documents/github/minirt/includes/vector.h", "C++", 11, 0, 13, 11, 35
"Total", "-", 191, 34, 100, 102, 427
