"filename", "language", "C", "comment", "blank", "total"
"/home/qsomarri/Documents/github/minirt/srcs/display/color.c", "C", 42, 11, 8, 61
"/home/qsomarri/Documents/github/minirt/srcs/display/color_utils.c", "C", 15, 11, 5, 31
"/home/qsomarri/Documents/github/minirt/srcs/display/display.c", "C", 24, 11, 5, 40
"/home/qsomarri/Documents/github/minirt/srcs/display/event.c", "C", 32, 11, 7, 50
"/home/qsomarri/Documents/github/minirt/srcs/display/ray.c", "C", 48, 11, 6, 65
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_objects.c", "C", 98, 11, 8, 117
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_scene.c", "C", 61, 11, 6, 78
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/outputs.c", "C", 45, 11, 7, 63
"/home/qsomarri/Documents/github/minirt/srcs/intersections/cylinder.c", "C", 68, 11, 10, 89
"/home/qsomarri/Documents/github/minirt/srcs/intersections/intersections.c", "C", 76, 11, 9, 96
"/home/qsomarri/Documents/github/minirt/srcs/intersections/plane.c", "C", 25, 11, 4, 40
"/home/qsomarri/Documents/github/minirt/srcs/intersections/sphere.c", "C", 41, 11, 6, 58
"/home/qsomarri/Documents/github/minirt/srcs/main/list_utils.c", "C", 38, 11, 8, 57
"/home/qsomarri/Documents/github/minirt/srcs/main/minirt.c", "C", 52, 11, 7, 70
"/home/qsomarri/Documents/github/minirt/srcs/main/transformations.c", "C", 127, 50, 20, 197
"/home/qsomarri/Documents/github/minirt/srcs/main/transformations_utils.c", "C", 16, 11, 5, 32
"/home/qsomarri/Documents/github/minirt/srcs/main/vector_utils.c", "C", 21, 11, 7, 39
"/home/qsomarri/Documents/github/minirt/srcs/main/vector_utils2.c", "C", 14, 11, 5, 30
"/home/qsomarri/Documents/github/minirt/srcs/parser/elements_parser.c", "C", 54, 11, 8, 73
"/home/qsomarri/Documents/github/minirt/srcs/parser/file_parser.c", "C", 75, 11, 8, 94
"/home/qsomarri/Documents/github/minirt/srcs/parser/ft_atof.c", "C", 51, 11, 8, 70
"/home/qsomarri/Documents/github/minirt/srcs/parser/objects_parser.c", "C", 101, 11, 11, 123
"/home/qsomarri/Documents/github/minirt/srcs/parser/scene_parser.c", "C", 61, 11, 8, 80
"/home/qsomarri/Documents/github/minirt/srcs/parser/utils_parser.c", "C", 39, 11, 8, 58
"Total", "-", 1224, 303, 184, 1711
